proftxgas,inclusionrate,feeoverhead
21000,0.6,0.0
46000,0.6,0.0
71000,0.6,0.0
96000,0.6,0.0
121000,0.6,0.0
146000,0.6,0.0
171000,0.6,0.0
196000,0.6,0.0
221000,0.6,0.0
246000,0.6,0.0
271000,0.6,0.0
296000,0.6,0.0
321000,0.6,0.0
346000,0.6,5.07662694620415e-05
371000,0.6,4.734536181635137e-05
396000,0.6,4.4356386954207975e-05
421000,0.6,4.172239723008636e-05
446000,0.6,3.9383697833781075e-05
471000,0.6,3.7293268012455115e-05
496000,0.6,0.00016811414718127254
521000,0.6,0.00016004724952382185
546000,0.6,0.0001527190787580791
571000,0.6,0.00014603260420649944
596000,0.6,0.0001399070755065624
621000,0.6,0.0001342747455747362
646000,0.6,0.00035386858163657616
671000,0.6,0.0003406842082522029
696000,0.6,0.0003284469881282014
721000,0.6,0.0003170583963068352
746000,0.6,0.0003064331149292603
771000,0.6,0.00029649689200678104
796000,0.6,0.0005618652575907254
821000,0.6,0.0005447560840952709
846000,0.6,0.0005286580910664507
871000,0.6,0.0005134842078555882
896000,0.6,0.0004991570815203319
921000,0.6,0.00048560775791771696
946000,0.6,0.0007174754816260153
971000,0.6,0.0006990028894111333
996000,0.6,0.000681457636162862
1021000,0.6,0.0006647716019766998
1046000,0.6,0.000648883179367314
1071000,0.6,0.0006337365131822693
1096000,0.6,0.0008706776935322025
1121000,0.6,0.0008512602605809937
1146000,0.6,0.0008326900105683194
1171000,0.6,0.0008149126832718138
1196000,0.6,0.0007978785552770017
1221000,0.6,0.0007815419755211253
1246000,0.6,0.000934753497030446
1271000,0.6,0.0009163673149488086
1296000,0.6,0.0008986904763116787
1321000,0.6,0.0008816827080241754
1346000,0.6,0.0008653067290489864
1371000,0.6,0.0008495279776075389
1396000,0.6,0.000991209583841265
1421000,0.6,0.0009737709915850852
1446000,0.6,0.0009569353935286349
1471000,0.6,0.0009406720455760749
1496000,0.6,0.0009249522587181859
1521000,0.6,0.0009097492301396489
1546000,0.6,0.0008950378907130699
1571000,0.6,0.0010234416674263786
1596000,0.6,0.0010074103129867427
1621000,0.6,0.000991873448196694
1646000,0.6,0.0009768085416323458
1671000,0.6,0.000962194410249456
1696000,0.6,0.0009480111200040336
1721000,0.6,0.001116469401121018
1746000,0.6,0.001100483298584921
1771000,0.6,0.0010849485258776239
1796000,0.6,0.0010698462357067217
1821000,0.6,0.0010551586157766459
1846000,0.6,0.0010408688187049143
1871000,0.6,0.001134922268869286
1896000,0.6,0.0011199575765055033
1921000,0.6,0.0011053823868060562
1946000,0.6,0.001091181688106081
1971000,0.6,0.0010773412303675465
1996000,0.6,0.0010638474774821813
2021000,0.6,0.0011719778801415888
2046000,0.6,0.0011576575248123905
2071000,0.6,0.0011436829047639552
2096000,0.6,0.0011300416487433926
2121000,0.6,0.0011167219687723484
2146000,0.6,0.001103712626172484
2171000,0.6,0.0011827927569575747
2196000,0.6,0.001169327447793668
2221000,0.6,0.0011561652748108486
2246000,0.6,0.0011432961154741294
2271000,0.6,0.0011307102929788177
2296000,0.6,0.0011183985519838391
2321000,0.6,0.0012086339650837557
2346000,0.6,0.0011957542339980378
2371000,0.6,0.001183146112593588
2396000,0.6,0.001170801098897912
2421000,0.6,0.0011587110421145796
2446000,0.6,0.0011468681246767773
2471000,0.6,0.0012195788677212224
2496000,0.6,0.0012073635345108736
2521000,0.6,0.0011953904728834355
