proftxgas,inclusionrate,feeoverhead
21000,0.7,0.0009118392641044935
46000,0.7,0.0004162744466563992
71000,0.7,0.00026969893727034317
96000,0.7,0.00019946483902285794
121000,0.7,0.0001582530954230939
146000,0.7,0.0006091195099871303
171000,0.7,0.0005200669500474913
196000,0.7,0.0004537318798883726
221000,0.7,0.0004024047441543938
246000,0.7,0.0003615099530817928
271000,0.7,0.0003281603264137307
296000,0.7,0.00030044408262878725
321000,0.7,0.00027704501077296267
346000,0.7,0.0006206183774753322
371000,0.7,0.0005787977320928975
396000,0.7,0.0005422574712284469
421000,0.7,0.0005100569088039548
446000,0.7,0.0004814662749023878
471000,0.7,0.00045591074014111454
496000,0.7,0.00043293136815819545
521000,0.7,0.00041215731018515346
546000,0.7,0.0007450718111832651
571000,0.7,0.0007124504534256792
596000,0.7,0.0006825657867551389
621000,0.7,0.0006550872929244168
646000,0.7,0.0006297356175016452
671000,0.7,0.0006062730386081413
696000,0.7,0.0005844959898075614
721000,0.7,0.0008283107305798697
746000,0.7,0.0008005523280805443
771000,0.7,0.0007745940813853256
796000,0.7,0.0007502663778242287
821000,0.7,0.0007274202640049768
846000,0.7,0.0007059243933192506
871000,0.7,0.0006856624991367233
896000,0.7,0.0006665312910134889
921000,0.7,0.0008854381238874137
946000,0.7,0.000862038596300537
971000,0.7,0.0008398439877449104
996000,0.7,0.0008187635663657711
1021000,0.7,0.0007987154868759139
1046000,0.7,0.0007796257285853805
1071000,0.7,0.0007614271821664874
1096000,0.7,0.000948930839317363
1121000,0.7,0.0009277682425440052
1146000,0.7,0.0009075289702371989
1171000,0.7,0.0008881538854755165
1196000,0.7,0.0008695887958961788
1221000,0.7,0.0008517839474953562
1246000,0.7,0.0008346935793674397
1271000,0.7,0.000818275530992785
1296000,0.7,0.0009546910750978277
1321000,0.7,0.000936623492298853
1346000,0.7,0.0009192270678505087
1371000,0.7,0.0009024650863069181
1396000,0.7,0.0008863034622684704
1421000,0.7,0.0008707105090265902
1446000,0.7,0.0008556567312080116
1471000,0.7,0.0008411146385634158
1496000,0.7,0.0009573975439493109
1521000,0.7,0.0009416612266588883
1546000,0.7,0.0009264338458914418
1571000,0.7,0.0009116911048683444
1596000,0.7,0.0008974102291655194
