proftxgas,inclusionrate,feeoverhead
21000,0.7,0.0011768265809913754
46000,0.7,0.0005372469174091063
71000,0.7,0.00034807546761716736
96000,0.7,0.00025743081459186337
121000,0.7,0.00020424262975883375
146000,0.7,0.0017309911440993567
171000,0.7,0.0014779222633830764
196000,0.7,0.0012894117706046227
221000,0.7,0.0011435507105814755
246000,0.7,0.0010273362074736019
271000,0.7,0.0009325634946070335
296000,0.7,0.0008537996859408989
321000,0.7,0.0007873043832975267
346000,0.7,0.0020342561372771626
371000,0.7,0.0018971768827436611
396000,0.7,0.0017774056148936823
421000,0.7,0.0016718589631779057
446000,0.7,0.001578144895735198
471000,0.7,0.0014943792430953254
496000,0.7,0.0014190577086651175
521000,0.7,0.0013509647284028756
546000,0.7,0.0021785770500444323
571000,0.7,0.0020831927658918736
596000,0.7,0.001995810519000436
621000,0.7,0.0019154638797492108
646000,0.7,0.0018413360206257891
671000,0.7,0.0017727318469810131
696000,0.7,0.0017090561340865802
721000,0.7,0.002278785600244758
746000,0.7,0.0022024187905850816
771000,0.7,0.0021310044329137102
796000,0.7,0.0020640759017292345
821000,0.7,0.002001223407766712
846000,0.7,0.001942085600208594
871000,0.7,0.00188634261512798
896000,0.7,0.0018337102876969538
921000,0.7,0.0023817480367507335
946000,0.7,0.0023188054353566866
971000,0.7,0.0022591039565884917
996000,0.7,0.0022023995400074553
1021000,0.7,0.0021484720292335216
1046000,0.7,0.002097122315341707
1071000,0.7,0.002048169880343068
1096000,0.7,0.002455777214537498
1121000,0.7,0.0024010096584594987
1146000,0.7,0.0023486316118089857
1171000,0.7,0.0022984900317105875
1196000,0.7,0.002250444671515968
1221000,0.7,0.002204366770788778
1246000,0.7,0.002160137902996066
1271000,0.7,0.002117648959192052
1296000,0.7,0.0025181119250614783
1321000,0.7,0.002470456513913456
1346000,0.7,0.0024245713632092686
1371000,0.7,0.002380359631567962
1396000,0.7,0.0023377314146702547
1421000,0.7,0.0022966031350314395
1446000,0.7,0.0022568969950758477
1471000,0.7,0.0022185404859821046
1496000,0.7,0.002520203296643827
1521000,0.7,0.002478779836804185
1546000,0.7,0.002438696074889499
1571000,0.7,0.0023998880533285588
1596000,0.7,0.0023622958219167707
1621000,0.7,0.0023258631287965243
1646000,0.7,0.002290537139598521
1671000,0.7,0.0024914966103201704
1696000,0.7,0.002454770540002951
1721000,0.7,0.0024191114676612464
