latency,mean,sem,50_percentile,75_percentile,90_percentile,95_percentile
0,-0.00011549693771969776,2.246275160119556e-05,0.0,0.0,0.0,0.0
2,0.00010351335761004087,1.654500820675981e-05,0.0,0.0,1.373181428641204e-05,0.00013
4,0.00017027371951887157,1.9043133468156663e-05,0.0,4.2498e-08,0.00010282286377549273,0.0003544169185347463
6,0.00022238487277597256,2.1317865158141006e-05,0.0,4.652125e-06,0.00017309266884875296,0.0005827524689040489
8,0.00027828154479525666,2.5877094278944115e-05,0.0,1.6218229695371e-05,0.000243459103548267,0.0007553156734593322
10,0.0003288793912247226,3.0593162803917276e-05,0.0,2.96805664623155e-05,0.00030328536014662816,0.0008994450656013128
12,0.000852610703646343,0.00043312741777505576,0.0,4.20295e-05,0.0003626149255884627,0.0010979288961935124
14,0.0008762436161972358,0.000433142848485924,0.0,5.877500480147525e-05,0.00044383025837205594,0.0012010031153875088
16,0.0009041832715701693,0.0004331714633876501,1e-08,7.58485001746475e-05,0.0005106203405583674,0.0013005945154649994
18,0.0009256566473509338,0.0004331938678520522,2.19751622719e-07,8.827191618199925e-05,0.0005518166559584995,0.0014078478313706252
20,0.0009427751175342522,0.00043321662299910667,6.47162792516e-07,0.00010008894770443001,0.0005902595658593843,0.0014653528788044264
22,0.0009591300608704461,0.0004332357181584178,1.127852478141e-06,0.00010991545911765325,0.0006287397811379627,0.0015604234811466952
24,0.0009716918402379466,0.00043324427485088657,1.721361470005e-06,0.00012172983437978625,0.0006658121200379422,0.0016273149510401905
26,0.0009866410993113867,0.00043325055191666557,2.3290655e-06,0.000129165891582308,0.0006920430276674941,0.0017162646547186616
28,0.001006511497588276,0.00043326412145308234,3.47469709344e-06,0.00013317009957034774,0.0007331439799149142,0.0018026058817319256
30,0.0010235834593958254,0.0004332899201126326,4.610036406376e-06,0.0001447201920061685,0.0007711434241249247,0.00186765586486153
32,0.0010473335786984933,0.00043338143973147903,5.8947e-06,0.000157303381761967,0.000824308149302724,0.0019755966377702234
34,0.0010669961213212386,0.00043347326852172295,7.4098433772265e-06,0.00016609813545048302,0.0008562753124280557,0.002052011646332927
36,0.0010886163424852092,0.000433510919161758,9.022691879709e-06,0.00017404305012081174,0.0009086072538896664,0.00213686921431403
38,0.0011106766022385293,0.0004335340220177529,1.0092120606435999e-05,0.00018333276459928425,0.0009718336071891796,0.002262271433858703
40,0.0011283715237680768,0.0004335765427521979,1.1597773790205e-05,0.00019435174283228274,0.0010172692877451043,0.0022959927225247615
42,0.0011431738385781457,0.0004335946859986426,1.3392943091696e-05,0.00020328474694455823,0.0010445527138114215,0.0023481802518379243
44,0.0011581933190049367,0.0004336147577908835,1.55758478959555e-05,0.0002113800739925205,0.0010802464225125165,0.0024161436636178837
46,0.0012612013643606282,0.0004416362664785005,1.7972706190665498e-05,0.0002200633583730315,0.0011133385667740517,0.0025237982037183675
48,0.0012755001934948254,0.0004416602945234617,2.0569913673261e-05,0.000230992403015025,0.0011472369521575304,0.0025774382806809356
50,0.001311814769609884,0.00044206496597573385,2.2651160049945e-05,0.000240962914768024,0.001196577322567504,0.002691084779499172
52,0.001326368038072684,0.00044210601584692875,2.56001162399815e-05,0.00025021559313865096,0.0012093214840763222,0.002787122897811276
54,0.0013383098122318076,0.0004421396680221337,2.80905502337405e-05,0.000258121784173119,0.0012545214862368713,0.00285953626237984
56,0.0013646275276275465,0.0004422576038037823,3.0954123220121e-05,0.0002694784002382417,0.001291531518004329,0.0029470222387605427
58,0.0013899867751054334,0.00044239866107324334,3.4651657359250005e-05,0.0002796467882858145,0.00132746174666307,0.0030167911061135242
60,0.0014145316601369318,0.0004424755165051683,3.7362599513141996e-05,0.00029555331842284446,0.0013886704358734268,0.003090135365388115
62,0.0014307000458956176,0.00044249243545257645,4.0655629935066494e-05,0.00030306375998353575,0.0014320855032571732,0.003158600994988116
64,0.0014475930713508198,0.0004425507752720057,4.2e-05,0.0003114827330635212,0.001477493584685529,0.003261822844029723
66,0.0014584571999542474,0.0004425672228114998,4.2798378570952004e-05,0.00031933555073593024,0.001502840089357905,0.003351821246065549
68,0.001471397864770097,0.00044257671852557153,4.4821532101898e-05,0.0003256449538757307,0.0015334670230615758,0.0034237039749415482
70,0.0014890877718585123,0.00044337900846252434,4.723365837892e-05,0.0003345892668132223,0.0015897477367127853,0.003543782413566084
72,0.001508365684837845,0.00044342348156566514,5.0820170810465996e-05,0.0003469638453313875,0.0016389873248018978,0.003651343275074148
74,0.0015178497404232717,0.0004434279132072635,5.3824125e-05,0.00035784257792404947,0.0016690007788460227,0.003721664769730329
76,0.0015405259717906565,0.0004436194837074753,5.693304063165e-05,0.000364770458901109,0.001702171767557411,0.0037636266978350033
78,0.0015760249543278408,0.0004439259183090774,6.0182018406869495e-05,0.0003762806034132643,0.0017692337138818003,0.0038741636943191277
80,0.001588476356860656,0.0004439512552999934,6.327447769124151e-05,0.00038784453825464174,0.0017912704558030509,0.0038992056440613323
82,0.0016033602619333813,0.00044396649522544844,6.59822527889545e-05,0.00039701421368160274,0.001823928959173851,0.004022443769114825
84,0.001615623910258149,0.0004439761177546917,6.948130724839701e-05,0.0004080388511948592,0.001859444081184817,0.0040673627671429
86,0.0016367776677948449,0.0004440842226207466,7.43765905037275e-05,0.0004207663531361515,0.0018762147923408982,0.004125891148484969
88,0.0016487392001516038,0.0004440987750668033,7.8170618790338e-05,0.00043049686396018025,0.0019017656670244363,0.004257673370436804
